"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC15";"DIP-8_W7.62mm_LongPads";1;"555N";;;
2;"IC4";"PLCC-44_THT-Socket";1;"XR68C681CJTR-F";;;
3;"H1,H2,H4,H3";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
4;"S1";"B3F-10XX";1;"10-XX";;;
5;"R19,R11";"0207_10";2;"10K";;;
6;"C1,C2";"C2.5_or_3.5-3";2;"7pF";;;
7;"C7,C8,C9,C20,C23,C24,C22,C26,C13,C27,C28,C30,C31,C6,C25,C29,C12,C10,C5,C4,C3,C32,C36,C35,C34,C33";"C2.5-3";26;"100nF";;;
8;"C16,C17,C18,C19,C14,C15,C11";"E2,5-5";7;"100uF";;;
9;"C21";"E3,5-10";1;"470uF";;;
10;"IC5,IC6,IC3,IC2";"DIP-24_W7.62mm_Socket_LongPads";4;"ATF22V10C";;;
11;"JP1,JP2,JP3,JP4,JP5,JP6";"1X02";6;"Jumper";;;
12;"LED3,LED1";"LED5MM";2;"GREEN";;;
13;"LED4,LED2";"LED5MM";2;"RED";;;
14;"Q1";"Crystal_HC49-4H_Vertical";1;"3.6864MHz";;;
15;"Q2";"Oscillator_DIP-8";1;"5H8ET-20.000";;;
16;"U4,U3";"DIP-32_W15.24mm_LongPads";2;"AS6C4008-55PCN";;;
17;"U2,U1";"DIP-32_W15.24mm_LongPads";2;"SST39SF040";;;
18;"J3";"PinHeader_2x32_P2.54mm_Vertical";1;"Conn_02x32_Odd_Even";;;
19;"R8,R32,R31,R3,R16";"0207_10";5;"4K7";;;
20;"J4";"1X06";1;"Conn_01x06";;;
21;"J2";"1X06";1;"UART_B";;;
22;"J1";"1X06";1;"UART_A";;;
23;"J5";"1X02";1;"PWR";;;
24;"R27";"0207_10";1;"2K2";;;
25;"R28";"0207_10";1;"270R";;;
26;"R13,R14,R1,R2";"0207_10";4;"330R";;;
27;"R21";"0207_10";1;"1K2";;;
28;"J6,J3-X1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
29;"rosco_m68k,rosco_m68k_mid";"SM-rosco_m68k_logo";2;"SM-rosco_m68k_logo";;;
30;"J7";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
31;"IC7";"DIP-16_W7.62mm_LongPads";1;"74LS148";;;
32;"IC1";"MC68030RC";1;"MC68030RC_PGA";;;
33;"RN4,RN1";"R_Array_SIP9";2;"4K7";;;
34;"RN3";"R_Array_SIP9";1;"R_Network08";;;
35;"RN2";"R_Array_SIP9";1;"10K";;;
36;"IC8";"DIL20";1;"ATF16V8BQL";;;
37;"OSHW_Mono_0.25_Scale";"OSHW_Mono_0.25_Scale";1;"UK000006";;;
38;"rohs";"RoHS-Logo_6mm_SilkScreen";1;"RoHS-Logo_6mm_SilkScreen";;;
39;"weee";"WEEE-Logo_5.6x8mm_SilkScreen";1;"WEEE-Logo_5.6x8mm_SilkScreen";;;
40;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
